iter	MultiClass
0	1.278297342
1	1.194430398
2	1.120968761
3	1.061971242
4	1.007080224
5	0.9592529882
6	0.9169532697
7	0.8793942067
8	0.8478228387
9	0.8244062603
10	0.8068019805
11	0.7861112415
12	0.765719007
13	0.7470529485
14	0.7288647741
15	0.7185908026
16	0.7040272188
17	0.684432369
18	0.6679295729
19	0.6527390097
20	0.6380676081
21	0.6235996941
22	0.6127289479
23	0.6018672101
24	0.5928368721
25	0.5814796698
26	0.571718305
27	0.5606480873
28	0.5516324438
29	0.5439248229
30	0.5365898421
31	0.5316266968
32	0.5249879629
33	0.5147484499
34	0.5078131594
35	0.4992643621
36	0.493910872
37	0.4866707415
38	0.4813432701
39	0.4752006637
40	0.4708798533
41	0.4632077692
42	0.4585585871
43	0.4540342797
44	0.4488918091
45	0.443438556
46	0.4394437669
47	0.433959652
48	0.4290316508
49	0.4238261594
50	0.4192030714
51	0.4147868295
52	0.4106309881
53	0.4077785187
54	0.4046562494
55	0.4006937319
56	0.396583691
57	0.3924304385
58	0.3887584222
59	0.3859317464
60	0.3821371079
61	0.379092759
62	0.3756596591
63	0.3724855839
64	0.3689145609
65	0.3658286396
66	0.36087675
67	0.3576255822
68	0.3542316403
69	0.3512754849
70	0.3490789695
71	0.3472815572
72	0.3444456992
73	0.3407243795
74	0.3389194488
75	0.3361177253
76	0.3339073395
77	0.3298692054
78	0.3269084905
79	0.3227252574
80	0.3204951638
81	0.3181533083
82	0.3164828861
83	0.3138518082
84	0.3114382994
85	0.3088147751
86	0.3069668348
87	0.3039018896
88	0.3026087001
89	0.3000065894
90	0.2984841561
91	0.2960109431
92	0.2937472857
93	0.2917353817
94	0.2897365923
95	0.2869377979
96	0.2835992079
97	0.2820908649
98	0.2806719209
99	0.2783748993
100	0.2766829586
101	0.2753406789
102	0.2740322033
103	0.272290865
104	0.269902632
105	0.2682584278
106	0.2663347855
107	0.264912274
108	0.2634724314
109	0.2622562681
110	0.2610579482
111	0.2586995066
112	0.2577336571
113	0.2562401177
114	0.2553335092
115	0.2541020357
116	0.2529571886
117	0.2512012097
118	0.2508217364
119	0.2496765669
120	0.2472205468
121	0.2455319077
122	0.2442585405
123	0.2429392554
124	0.2415789182
125	0.2407387356
126	0.2397920136
127	0.2380357641
128	0.2369061045
129	0.235767487
130	0.2341137293
131	0.2335230529
132	0.2314069811
133	0.23036424
134	0.2291098179
135	0.228009983
136	0.2264553627
137	0.2251237318
138	0.2240913226
139	0.2230246575
140	0.2221897915
141	0.2205786596
142	0.2191987449
143	0.2181749557
144	0.2173442096
145	0.2161348517
146	0.2149359039
147	0.2138901544
148	0.2128578799
149	0.2114485427
150	0.2096400837
151	0.2082758521
152	0.2076835939
153	0.20689955
154	0.2060543659
155	0.2053564151
156	0.2039645603
157	0.203037822
158	0.2022210672
159	0.2015455176
160	0.201017031
161	0.2004491095
162	0.1996119044
163	0.1988785746
164	0.1981102859
165	0.1976099468
166	0.1967701179
167	0.1957452254
168	0.1948277716
169	0.1936535573
170	0.1932681675
171	0.1924039839
172	0.1916108612
173	0.1909077858
174	0.1902485206
175	0.1892815594
176	0.1878542585
177	0.1870274505
178	0.1860470036
179	0.185262658
180	0.1847004242
181	0.1838661416
182	0.1827295129
183	0.1819895201
184	0.1813554533
185	0.1805068568
186	0.1795062386
187	0.1785071538
188	0.1770295375
189	0.1761524651
190	0.1753785479
191	0.1742433287
192	0.1734000002
193	0.171769342
194	0.1711145824
195	0.170204968
196	0.1697284595
197	0.1691353316
198	0.1678940921
199	0.1673931757
