iter	Passed	Remaining
0	11	2378
1	18	1851
2	23	1524
3	24	1191
4	28	1117
5	32	1048
6	35	985
7	39	936
8	42	901
9	43	823
10	43	752
11	47	736
12	50	723
13	53	711
14	57	703
15	57	661
16	60	655
17	63	646
18	67	638
19	70	630
20	73	625
21	76	618
22	79	610
23	82	605
24	85	600
25	89	596
26	92	591
27	95	586
28	98	581
29	101	576
30	104	571
31	108	569
32	111	564
33	114	560
34	118	556
35	121	552
36	124	546
37	127	542
38	130	538
39	133	534
40	136	529
41	139	525
42	142	521
43	146	518
44	149	514
45	152	510
46	155	506
47	159	504
48	162	500
49	166	498
50	169	494
51	172	490
52	175	486
53	178	482
54	181	479
55	184	475
56	188	471
57	191	468
58	194	464
59	197	461
60	200	457
61	204	454
62	207	450
63	210	447
64	213	443
65	216	439
66	219	436
67	223	432
68	226	429
69	229	425
70	232	422
71	235	419
72	238	415
73	242	412
74	245	408
75	248	405
76	251	401
77	254	398
78	257	394
79	260	391
80	264	387
81	267	384
82	270	381
83	273	377
84	276	374
85	279	370
86	283	367
87	286	364
88	289	360
89	292	357
90	295	354
91	298	350
92	301	347
93	308	348
94	311	344
95	315	341
96	318	338
97	322	335
98	325	331
99	328	328
100	331	325
101	334	321
102	337	318
103	341	314
104	344	311
105	347	307
106	350	304
107	353	301
108	357	298
109	360	294
110	363	291
111	366	288
112	370	285
113	373	281
114	376	278
115	379	274
116	382	271
117	386	268
118	389	264
119	392	261
120	395	258
121	399	255
122	402	251
123	405	248
124	408	245
125	412	242
126	415	238
127	418	235
128	421	232
129	424	228
130	427	225
131	431	222
132	434	218
133	437	215
134	440	212
135	443	208
136	447	205
137	450	202
138	454	199
139	457	196
140	460	192
141	464	189
142	467	186
143	470	182
144	473	179
145	476	176
146	479	173
147	482	169
148	486	166
149	489	163
150	492	159
151	495	156
152	498	153
153	501	149
154	504	146
155	508	143
156	511	139
157	514	136
158	517	133
159	520	130
160	523	126
161	526	123
162	529	120
163	533	117
164	536	113
165	539	110
166	542	107
167	545	103
168	548	100
169	551	97
170	554	94
171	558	90
172	561	87
173	564	84
174	567	81
175	571	77
176	574	74
177	577	71
178	580	68
179	583	64
180	587	61
181	590	58
182	593	55
183	596	51
184	599	48
185	602	45
186	605	42
187	608	38
188	611	35
189	614	32
190	617	29
191	621	25
192	624	22
193	627	19
194	630	16
195	633	12
196	636	9
197	639	6
198	642	3
199	645	0
