Harvest Month,Harvest Date,Harvest Year,Domoic Acid
April,29,2002,5
May,28,2002,2.9
June,24,2002,7.3
June,26,2002,0
July,9,2002,6
July,15,2002,0
July,17,2002,0
July,24,2002,5.2
July,29,2002,0
August,6,2002,5.2
August,14,2002,0
August,20,2002,3.6
August,21,2002,0
October,7,2002,0
October,8,2002,7.6
November,3,2002,61.2
June,2,2003,140
June,17,2003,287
July,22,2003,1
August,13,2003,100
April,6,2004,56
May,4,2004,28
May,9,2004,0
May,18,2004,30
June,7,2004,25
June,16,2004,36
July,7,2004,26
July,29,2004,22
August,17,2004,48
August,29,2004,33
September,22,2004,19
October,14,2004,25
November,11,2004,28
January,6,2005,26
February,7,2005,18
February,8,2005,11
March,7,2005,15
April,27,2005,29
May,2,2005,67
May,15,2005,2.5
May,18,2005,2.4
May,23,2005,213
June,21,2005,130
July,19,2005,86
August,16,2005,36
August,31,2005,54
September,15,2005,45
November,14,2005,38
November,14,2005,16
November,30,2005,36
December,4,2005,23
December,4,2005,39
December,12,2005,69
December,13,2005,33
February,7,2006,15
February,11,2006,11
February,25,2006,14
February,25,2006,34
February,26,2006,6.3
February,26,2006,9.9
March,27,2006,12
March,27,2006,10
April,14,2006,9.2
April,18,2006,9.9
April,23,2006,7.4
April,29,2006,8
April,30,2006,12
May,15,2006,16
May,15,2006,9.9
May,26,2006,14
May,30,2006,11
June,11,2006,7.3
June,12,2006,11
June,25,2006,5.7
July,10,2006,8
July,12,2006,4
July,25,2006,20.1
August,8,2006,15
August,9,2006,14
August,20,2006,14
September,7,2006,9
September,7,2006,8.9
October,9,2006,7.2
October,9,2006,9
December,4,2006,1
January,2,2007,1
January,18,2007,5.5
January,30,2007,13
March,5,2007,1
March,17,2007,7.9
March,24,2007,5.6
April,16,2007,1
April,18,2007,7.7
April,21,2007,1
May,3,2007,1.7
May,3,2007,1
May,6,2007,1.5
May,15,2007,6.2
June,4,2007,1
June,5,2007,2.2
June,13,2007,4.7
June,15,2007,2.6
July,2,2007,3.6
July,3,2007,1.9
July,16,2007,2.7
July,16,2007,2.1
July,30,2007,2.1
August,12,2007,1.2
August,14,2007,1
August,26,2007,1
