Harvest Month,Harvest Date,Harvest Year,Domoic Acid
January,2,2002,17.2
January,9,2002,10.5
January,10,2002,15.3
January,10,2002,16.8
January,24,2002,15.6
January,28,2002,14.6
January,28,2002,10.6
January,29,2002,12.9
February,6,2002,4.8
February,12,2002,9.2
February,12,2002,13
February,24,2002,12.2
February,25,2002,11.8
February,25,2002,14.5
March,12,2002,10.9
March,14,2002,3.4
March,25,2002,12.3
March,25,2002,6.1
April,1,2002,9.7
April,2,2002,11.4
April,16,2002,5.5
April,16,2002,7.8
April,17,2002,5.8
April,17,2002,0
April,30,2002,4.2
April,30,2002,5.2
April,30,2002,6.5
April,30,2002,7.5
May,3,2002,4.3
May,13,2002,4.1
May,13,2002,1
May,15,2002,5.5
May,20,2002,5.4
May,28,2002,5.2
May,29,2002,4
May,29,2002,5.5
May,29,2002,4.5
June,10,2002,3.9
June,11,2002,4
June,11,2002,5.1
June,17,2002,3.9
June,18,2002,5.1
June,24,2002,5.3
June,25,2002,4.5
June,25,2002,3.7
June,25,2002,4.1
July,8,2002,1
July,9,2002,2.8
July,9,2002,3.9
July,9,2002,1
July,23,2002,3.1
July,23,2002,3.1
July,23,2002,2.5
July,23,2002,1
August,6,2002,1
August,7,2002,1.7
August,7,2002,2.2
August,19,2002,1.1
August,20,2002,1.4
August,20,2002,1
September,8,2002,1
September,9,2002,1.7
September,9,2002,1.4
September,23,2002,2.2
September,23,2002,1.8
September,24,2002,8.5
October,2,2002,7.9
October,2,2002,8.3
October,7,2002,5.7
October,8,2002,29.3
October,8,2002,37.6
October,8,2002,37.5
October,21,2002,102
October,22,2002,88.2
October,22,2002,117
October,22,2002,1
November,5,2002,77.8
November,5,2002,90.3
November,5,2002,115
November,19,2002,89.2
November,20,2002,74.1
November,20,2002,0
December,3,2002,52
December,4,2002,93
December,30,2002,82.8
January,15,2003,72.2
January,16,2003,79.7
January,29,2003,69
January,30,2003,42
February,11,2003,57
February,24,2003,89
March,11,2003,60
March,25,2003,44
April,16,2003,42
April,17,2003,46
May,15,2003,64
May,16,2003,46
June,1,2003,59
June,2,2003,29
June,16,2003,22
June,16,2003,33
June,16,2003,1
June,30,2003,11
June,30,2003,21
July,14,2003,31.2
July,14,2003,49.1
July,14,2003,1
July,28,2003,1
August,11,2003,4.4
August,11,2003,7.6
August,11,2003,1
September,9,2003,18
September,10,2003,11
September,10,2003,21
September,24,2003,11
September,24,2003,14
September,24,2003,12
September,24,2003,1
